SCIENTIFIC NAME,TRADE NAME,INDICATION,ICD 10 CODE
CEFUROXIME AXETIL,APROKAM 50 MG (INTRACAMERAL INJ) VIAL 1'S(N),HOSPITAL AND VENTILATER ACQUIRED PNEUMONIA,"J18.9, J95. 851"
CEFUROXIME AXETIL,APROKAM 50 MG (INTRACAMERAL INJ) VIAL 1'S(N),INTRA-ABDOMINAL INFECTIONS,"K35, K81, K83, K57, K63, K26, S36"
CEFUROXIME AXETIL,APROKAM 50 MG (INTRACAMERAL INJ) VIAL 1'S(N),BACTERIAL SKIN INFECTIONS - ERYSIPELAS AND CELLULITIS,"A46, L03"
CEFUROXIME AXETIL,APROKAM 50 MG (INTRACAMERAL INJ) VIAL 1'S(N),BACTERIAL TONSILLOPHARYNGITIS TREATMENT AND PREVENTION,"J03, J35.0"
CEFUROXIME AXETIL,APROKAM 50 MG (INTRACAMERAL INJ) VIAL 1'S(N),OTITIS MEDIA,"H65, H66, Z06"
CEFUROXIME AXETIL,APROKAM 50 MG (INTRACAMERAL INJ) VIAL 1'S(N),SINUSITIS,"J01, J32"
"CINNARIZINE, DIMENHYDRINATE",ARLEVERT TAB 100'S(N),VERTIGO - MOTION SICKNESS,T75.3
ARTESUNATE,ARTESUNATE INJ 60 MG (N),"FALCIPARUM MALARIA / MALARIA, UNSPECIFIED","B50, B54"
ASCORBIC ACID,ASCORBIC ACID INJECTION 500MG/5ML 1'S (N),MUCOSAL ULCERATION-SUPPORTIVE AGENTS,"K05.0, K05.1"
ATOMOXETINE HYDROCHLORIDE,ATOMOXETINE 4MG/ML ORAL SOLUTION 100ML (N),ATTENTION DEFICIT HYPERACTIVITY DISORDER (ADHD),"F90, F98.8"
ATROPINE,ATROPINE 1 MG/ML INJECTION - 1'S (N),ORGANOPHOSPHATE POISONING / BRADYCARDIA / GLAUCOMA,"T60, R00.1, H40"
BEVCIZUMAB,AVASTIN 400 MG VIAL INJ(N),COLORECTAL / LUNG CANCER / AMD,"C18, C34, H35.3"
AZITHROMYCIN,AZITHROMYCIN 500MG INJ 1'S(N),BACTRIAL INFECTIONS OF THE GASTROINTESTINAL TRACT - SHIGELLA INFECTIONS,"A04.9, A03"
AZITHROMYCIN,AZITHROMYCIN 500MG INJ 1'S(N),BACTRIAL INFECTIONS OF THE GASTROINTESTINAL TRACT - TYPHOID AND PARATYPHOID FEVERS,"A04.9, A01"
AZITHROMYCIN,AZITHROMYCIN 500MG INJ 1'S(N),BACTRIAL INFECTIONS OF THE GASTROINTESTINAL TRACT - VIBRIO CHOLERAE,"A04.9, A00"
AZITHROMYCIN,AZITHROMYCIN 500MG INJ 1'S(N),BACTRIAL INFECTIONS OF THE GASTROINTESTINAL TRACT- ENTEROPATHOGENIC ESCHERICHIA COLI,"A04.9, A04.0"
AZITHROMYCIN,AZITHROMYCIN 500MG INJ 1'S(N),TRAVEL RELATED INFECTIONS-TREATMENT,"B06, B50, B51, B52, B53, B54, B55, B26, A00, A01.0, A39, A83.0, A95, A97, J09, J11, B34.2, B97.2, A35, A36, A37.0, A20, A92, A80, A27, A15, A16, A22"
AZITHROMYCIN,AZITHROMYCIN 500MG INJ 1'S(N),Septic Shock,"R57.2, R65.21"
AZITHROMYCIN,AZITHROMYCIN 500MG INJ 1'S(N),BACTRIAL INFECTIONS OF THE GASTROINTESTINAL TRACT - CAMPYLOBACTER INFECTIONS,"A04.9, A04.5"
AZITHROMYCIN,AZITHROMYCIN 500MG INJ 1'S(N),GRAFT VERSUS HOST DISEASE,D89.81
AZITHROMYCIN,AZITHROMYCIN 500MG INJ 1'S(N),MUCOPURULENT CONJUCTIVITIS - GONOCOCCAL INFECTION OF THE EYE - CHLAMYDIAL CONJUNCTIVITIS,"H10.0, A54.31, A74.0"
AZITHROMYCIN,AZITHROMYCIN 500MG INJ 1'S(N),PHARYNGITIS,"J00, J02"
AZITHROMYCIN,AZITHROMYCIN 500MG INJ 1'S(N),BACTERIAL TONSILLOPHARYNGITIS TREATMENT AND PREVENTION,"J03, J35.0"
AZITHROMYCIN,AZITHROMYCIN 500MG INJ 1'S(N),DENTAL ABSCESS,"K04.6, K04.7"
AZITHROMYCIN,AZITHROMYCIN 500MG INJ 1'S(N),ACUTE EXACERBATION OF CHRONIC OBSTRUCTIVE PULMONARY DISEASE (COPD),J44.1
AZITHROMYCIN,AZITHROMYCIN 500MG INJ 1'S(N),CYSTIC FIBROSIS,E84
AZITHROMYCIN,AZITHROMYCIN 500MG INJ 1'S(N),OTITIS MEDIA,"H65, H66"
AZITHROMYCIN,AZITHROMYCIN 500MG INJ 1'S(N),ENDOCARDITIS,I33.0
AZITHROMYCIN,AZITHROMYCIN 500MG INJ 1'S(N),"PREVENTION AND CHEMOPROPHYLAXIS OF BACTERIAL MENINGITIS- MENINGITIS, MENINGOCOCCAL INFECTIONS PREVENTION (CHEMOPROPHYLAXIS)","A39, G00"
AZITHROMYCIN,AZITHROMYCIN 500MG INJ 1'S(N),BACTERIAL SKIN INFECTIONS - IMPETIGO AND ECTHYMA,"L01, L08"
AZITHROMYCIN,AZITHROMYCIN 500MG INJ 1'S(N),INFECTIOUS UVEITIS,B58.01
